mean_reward,reward,step,time
1.25,1.25,8192,46.321843
2.5,2.5,16384,67.692386
4.375,4.375,24576,88.162377
6.5625,6.5625,32768,108.995316
4.6875,4.6875,40960,129.237058
10.9375,10.9375,49152,150.073014
8.4375,8.4375,57344,170.711447
9.375,9.375,65536,190.563713
10.3125,10.3125,73728,211.254165
10.0,10.0,81920,231.198122
13.75,13.75,90112,251.771743
10.3125,10.3125,98304,272.633583
11.5625,11.5625,106496,292.831774
11.5625,11.5625,114688,312.972909
11.875,11.875,122880,332.889989
12.1875,12.1875,131072,353.652098
11.5625,11.5625,139264,374.209057
11.25,11.25,147456,395.420751
14.6875,14.6875,155648,416.988683
12.8125,12.8125,163840,439.076437
8.75,8.75,172032,458.858678
15.625,15.625,180224,478.966367
13.125,13.125,188416,499.161793
15.0,15.0,196608,518.827744
16.5625,16.5625,204800,538.223524
11.25,11.25,212992,558.687859
13.4375,13.4375,221184,578.32144
14.6875,14.6875,229376,597.475372
13.4375,13.4375,237568,618.514668
14.6875,14.6875,245760,638.458176
10.9375,10.9375,253952,659.679906
13.75,13.75,262144,680.374165
12.1875,12.1875,270336,698.947333
13.75,13.75,278528,721.091472
13.75,13.75,286720,740.86244
13.4375,13.4375,294912,759.506721
12.1875,12.1875,303104,781.17435
5.9375,5.9375,311296,800.409575
9.375,9.375,319488,819.570316
6.25,6.25,327680,840.219981
8.75,8.75,335872,860.538541
6.25,6.25,344064,879.682807
8.125,8.125,352256,901.458325
4.0625,4.0625,360448,920.952491
5.9375,5.9375,368640,941.557641
9.0625,9.0625,376832,962.708604
5.625,5.625,385024,982.969001
7.5,7.5,393216,1003.536367
9.375,9.375,401408,1023.793175
7.8125,7.8125,409600,1043.468266
10.3125,10.3125,417792,1066.309369
5.9375,5.9375,425984,1088.031808
5.9375,5.9375,434176,1106.792443
6.875,6.875,442368,1128.469923
4.0625,4.0625,450560,1148.742751
2.1875,2.1875,458752,1169.775729
1.25,1.25,466944,1192.590212
2.8125,2.8125,475136,1214.971592
2.1875,2.1875,483328,1237.229529
1.5625,1.5625,491520,1259.547511
4.0625,4.0625,499712,1281.346155
2.5,2.5,507904,1302.355526
6.875,6.875,516096,1322.301165
5.625,5.625,524288,1342.433238
3.4375,3.4375,532480,1364.057439
5.625,5.625,540672,1384.461117
6.25,6.25,548864,1405.476619
10.625,10.625,557056,1425.294089
9.6875,9.6875,565248,1444.950854
9.0625,9.0625,573440,1469.427229
9.375,9.375,581632,1489.312116
9.375,9.375,589824,1508.919567
12.1875,12.1875,598016,1530.918669
11.25,11.25,606208,1551.945244
15.0,15.0,614400,1571.287959
16.25,16.25,622592,1590.755993
18.125,18.125,630784,1609.374269
18.75,18.75,638976,1629.433352
9.6875,9.6875,647168,1650.488466
12.5,12.5,655360,1670.266814
14.6875,14.6875,663552,1688.960839
15.9375,15.9375,671744,1709.376484
9.6875,9.6875,679936,1727.876761
10.3125,10.3125,688128,1748.087593
11.875,11.875,696320,1768.706167
9.375,9.375,704512,1787.220186
9.6875,9.6875,712704,1805.71538
10.625,10.625,720896,1825.525546
8.4375,8.4375,729088,1846.142453
12.1875,12.1875,737280,1865.74574
10.3125,10.3125,745472,1887.333124
7.8125,7.8125,753664,1907.191384
8.125,8.125,761856,1929.580395
9.375,9.375,770048,1952.32796
9.6875,9.6875,778240,1971.190882
13.75,13.75,786432,1992.144441
7.5,7.5,794624,2012.323042
11.25,11.25,802816,2032.936014
10.625,10.625,811008,2054.527712
8.4375,8.4375,819200,2073.27367
14.6875,14.6875,827392,2091.872907
10.3125,10.3125,835584,2113.374716
5.9375,5.9375,843776,2133.310346
7.5,7.5,851968,2151.785967
11.25,11.25,860160,2172.082235
10.3125,10.3125,868352,2191.700884
8.125,8.125,876544,2210.844275
8.75,8.75,884736,2232.420838
10.625,10.625,892928,2251.624664
12.1875,12.1875,901120,2273.716132
11.25,11.25,909312,2293.932252
5.625,5.625,917504,2314.270758
8.75,8.75,925696,2337.577094
6.875,6.875,933888,2357.444827
10.625,10.625,942080,2376.55183
9.375,9.375,950272,2397.641874
7.8125,7.8125,958464,2418.290477
7.1875,7.1875,966656,2437.669952
10.625,10.625,974848,2457.482786
10.9375,10.9375,983040,2476.557339
9.6875,9.6875,991232,2495.799938
6.875,6.875,999424,2518.128651
7.5,7.5,1007616,2537.332418
12.1875,12.1875,1015808,2556.351899
5.0,5.0,1024000,2576.137081
7.8125,7.8125,1032192,2595.414475
6.5625,6.5625,1040384,2615.836359
9.375,9.375,1048576,2637.349852
8.4375,8.4375,1056768,2658.873055
16.875,16.875,1064960,2679.508767
13.4375,13.4375,1073152,2700.013981
11.25,11.25,1081344,2718.976197
13.75,13.75,1089536,2740.134646
11.25,11.25,1097728,2760.052809
11.875,11.875,1105920,2779.081187
11.875,11.875,1114112,2802.620671
8.75,8.75,1122304,2822.864687
9.0625,9.0625,1130496,2842.146199
6.25,6.25,1138688,2862.186651
10.9375,10.9375,1146880,2881.636804
13.75,13.75,1155072,2901.851387
6.875,6.875,1163264,2922.728641
9.375,9.375,1171456,2942.916848
6.25,6.25,1179648,2962.861338
12.1875,12.1875,1187840,2983.347308
10.3125,10.3125,1196032,3002.840175
8.125,8.125,1204224,3022.444405
3.125,3.125,1212416,3042.461967
8.125,8.125,1220608,3061.124763
10.0,10.0,1228800,3081.208047
14.0625,14.0625,1236992,3103.962551
9.375,9.375,1245184,3122.672459
10.3125,10.3125,1253376,3144.285526
12.8125,12.8125,1261568,3165.027195
8.4375,8.4375,1269760,3185.3101
7.8125,7.8125,1277952,3207.095289
10.9375,10.9375,1286144,3226.672869
9.6875,9.6875,1294336,3246.300142
8.75,8.75,1302528,3266.738451
12.1875,12.1875,1310720,3286.679663
11.25,11.25,1318912,3306.510737
10.3125,10.3125,1327104,3327.628186
10.9375,10.9375,1335296,3345.957691
11.25,11.25,1343488,3365.637267
10.625,10.625,1351680,3387.347745
13.125,13.125,1359872,3406.191011
11.25,11.25,1368064,3425.196308
14.0625,14.0625,1376256,3444.563
11.5625,11.5625,1384448,3463.525415
14.375,14.375,1392640,3487.490791
16.25,16.25,1400832,3506.668978
11.875,11.875,1409024,3525.443411
11.5625,11.5625,1417216,3547.409484
11.875,11.875,1425408,3569.189478
12.5,12.5,1433600,3588.83452
12.1875,12.1875,1441792,3607.558644
8.75,8.75,1449984,3626.145047
10.625,10.625,1458176,3645.882104
8.4375,8.4375,1466368,3666.354953
11.875,11.875,1474560,3685.205899
10.625,10.625,1482752,3704.322275
11.25,11.25,1490944,3723.760621
12.5,12.5,1499136,3743.054773
13.125,13.125,1507328,3762.687999
10.0,10.0,1515520,3781.42051
10.9375,10.9375,1523712,3800.661891
10.9375,10.9375,1531904,3819.037313
7.8125,7.8125,1540096,3838.295726
10.9375,10.9375,1548288,3857.95534
10.625,10.625,1556480,3877.127317
